condition,screen,item,repeat,pred_x,pred_y,hit,dist,iou,in_tokens,out_tokens,latency_ms,error
orig,products-admin,search-box,1,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 22 (line 1 column 23)"
orig,products-admin,search-box,2,,,,,,,,,"unparseable answer"
orig,products-admin,search-box,3,,,,,,,,,"unparseable answer"
orig,products-admin,category-dropdown,1,,,,,,,,,"unparseable answer"
orig,products-admin,category-dropdown,2,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 22 (line 1 column 23)"
orig,products-admin,category-dropdown,3,,,,,,,,,"unparseable answer"
orig,products-admin,add-button,1,,,,,,,,,"unparseable answer"
orig,products-admin,add-button,2,,,,,,,,,"unparseable answer"
orig,products-admin,add-button,3,,,,,,,,,"unparseable answer"
orig,products-admin,rating-filter-star4,1,,,,,,,,,"unparseable answer"
orig,products-admin,rating-filter-star4,2,,,,,,,,,"unparseable answer"
orig,products-admin,rating-filter-star4,3,,,,,,,,,"unparseable answer"
orig,products-admin,chart-snack-bar,1,,,,,,,,,"unparseable answer"
orig,products-admin,chart-snack-bar,2,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 20 (line 1 column 21)"
orig,products-admin,chart-snack-bar,3,,,,,,,,,"unparseable answer"
orig,products-admin,nav-products,1,,,,,,,,,"unparseable answer"
orig,products-admin,nav-products,2,,,,,,,,,"unparseable answer"
orig,products-admin,nav-products,3,,,,,,,,,"unparseable answer"
orig,products-admin,nav-customers,1,,,,,,,,,"unparseable answer"
orig,products-admin,nav-customers,2,,,,,,,,,"unparseable answer"
orig,products-admin,nav-customers,3,,,,,,,,,"unparseable answer"
orig,products-admin,nav-settings,1,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 13 (line 1 column 14)"
orig,products-admin,nav-settings,2,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 13 (line 1 column 14)"
orig,products-admin,nav-settings,3,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 22 (line 1 column 23)"
orig,products-admin,logout-button,1,,,,,,,,,"unparseable answer"
orig,products-admin,logout-button,2,,,,,,,,,"unparseable answer"
orig,products-admin,logout-button,3,,,,,,,,,"unparseable answer"
orig,products-admin,row1-name,1,,,,,,,,,"unparseable answer"
orig,products-admin,row1-name,2,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 14 (line 1 column 15)"
orig,products-admin,row1-name,3,,,,,,,,,"unparseable answer"
orig,products-admin,row1-view-icon,1,,,,,,,,,"unparseable answer"
orig,products-admin,row1-view-icon,2,,,,,,,,,"unparseable answer"
orig,products-admin,row1-view-icon,3,,,,,,,,,"unparseable answer"
orig,products-admin,row1-edit-icon,1,,,,,,,,,"unparseable answer"
orig,products-admin,row1-edit-icon,2,,,,,,,,,"unparseable answer"
orig,products-admin,row1-edit-icon,3,,,,,,,,,"unparseable answer"
orig,products-admin,row1-delete-icon,1,,,,,,,,,"unparseable answer"
orig,products-admin,row1-delete-icon,2,,,,,,,,,"unparseable answer"
orig,products-admin,row1-delete-icon,3,,,,,,,,,"unparseable answer"
orig,products-admin,row5-price,1,,,,,,,,,"unparseable answer"
orig,products-admin,row5-price,2,,,,,,,,,"unparseable answer"
orig,products-admin,row5-price,3,,,,,,,,,"unparseable answer"
orig,products-admin,row9-stock,1,,,,,,,,,"unparseable answer"
orig,products-admin,row9-stock,2,,,,,,,,,"unparseable answer"
orig,products-admin,row9-stock,3,,,,,,,,,"unparseable answer"
orig,products-admin,row12-rating,1,,,,,,,,,"unparseable answer"
orig,products-admin,row12-rating,2,-1,-1,0,1373.3,,1100,56,1697,
orig,products-admin,row12-rating,3,0,0,0,1371.9,,1100,56,2452,
orig,products-admin,header-cost,1,,,,,,,,,"unparseable answer"
orig,products-admin,header-cost,2,,,,,,,,,"unparseable answer"
orig,products-admin,header-cost,3,,,,,,,,,"unparseable answer"
orig,products-admin,table-footer,1,0,0,0,1204.9,,1093,79,623,
orig,products-admin,table-footer,2,0,0,0,1204.9,,1093,69,2233,
orig,products-admin,table-footer,3,0,0,0,1204.9,,1093,62,2547,
orig,customer-c01,c01-back,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-back,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-back,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-heading,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-heading,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-heading,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-name-value,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-name-value,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-name-value,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-phone-label,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-phone-label,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-phone-label,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-phone-value,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-phone-value,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-phone-value,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-email-value,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-email-value,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-email-value,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-card-label,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-card-label,2,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 27 (line 1 column 28)"
orig,customer-c01,c01-card-label,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-card-value,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-card-value,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-card-value,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-points-value,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-points-value,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-points-value,3,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-nav-customers,1,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-nav-customers,2,,,,,,,,,"unparseable answer"
orig,customer-c01,c01-nav-customers,3,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-back,1,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-back,2,,,,,,,,,"unparseable answer"
